API_Gravity_60F,Short_Tons_per_1000_US_Gallons_60F,Short_Tons_per_Barrel_60F
22.6,3.8232,0.16057
22.7,3.8207,0.16047
22.8,3.8182,0.16037
22.9,3.8158,0.16026
23.0,3.8133,0.16016
23.1,3.8108,0.16005
23.2,3.8084,0.15995
23.3,3.8059,0.15985
23.4,3.8034,0.15974
23.5,3.801,0.15964
23.6,3.7985,0.15954
23.7,3.7961,0.15944
23.8,3.7936,0.15933
23.9,3.7912,0.15923
24.0,3.7887,0.15913
24.1,3.7863,0.15902
24.2,3.7839,0.15892
24.3,3.7814,0.15882
24.4,3.779,0.15872
24.5,3.7766,0.15862
24.6,3.7742,0.15851
24.7,3.7717,0.15841
24.8,3.7693,0.15831
24.9,3.7669,0.15821
25.0,3.7645,0.15811
25.1,3.7621,0.15801
25.2,3.7597,0.15791
25.3,3.7573,0.15781
25.4,3.7549,0.15771
25.5,3.7525,0.1576
25.6,3.7501,0.1575
25.7,3.7477,0.1574
25.8,3.7453,0.1573
25.9,3.7429,0.1572
26.0,3.7406,0.1571
26.1,3.7382,0.157
26.2,3.7358,0.1569
26.3,3.7334,0.1568
26.4,3.7311,0.15671
26.5,3.7287,0.15661
26.6,3.7264,0.15651
26.7,3.724,0.15641
26.8,3.7216,0.15631
26.9,3.7193,0.15621
27.0,3.7169,0.15611
27.1,3.7146,0.15601
27.2,3.7122,0.15591
27.3,3.7099,0.15582
27.4,3.7076,0.15572
27.5,3.7052,0.15562
27.6,3.7029,0.15552
27.7,3.7006,0.15542
27.8,3.6982,0.15533
27.9,3.6959,0.15523
28.0,3.6936,0.15513
28.1,3.6913,0.15503
28.2,3.689,0.15494
28.3,3.6867,0.15484
28.4,3.6843,0.15474
28.5,3.682,0.15465
28.6,3.6797,0.15455
28.7,3.6774,0.15445
28.8,3.6751,0.15436
28.9,3.6728,0.15426
29.0,3.6706,0.15416
29.1,3.6683,0.15407
29.2,3.666,0.15397
29.3,3.6637,0.15388
29.4,3.6614,0.15378
29.5,3.6591,0.15368
29.6,3.6569,0.15359
29.7,3.6546,0.15349
29.8,3.6523,0.1534
29.9,3.6501,0.1533
30.0,3.6478,0.15321
30.1,3.6455,0.15311
30.2,3.6433,0.15302
30.3,3.641,0.15292
30.4,3.6388,0.15283
30.5,3.6365,0.15273
30.6,3.6343,0.15264
30.7,3.632,0.15255
30.8,3.6298,0.15245
30.9,3.6276,0.15236
31.0,3.6253,0.15226
31.1,3.6231,0.15217
31.2,3.6209,0.15208
31.3,3.6186,0.15198
31.4,3.6164,0.15189
31.5,3.6142,0.1518
31.6,3.612,0.1517
31.7,3.6097,0.15161
31.8,3.6075,0.15152
31.9,3.6053,0.15142
32.0,3.6031,0.15133
32.1,3.6009,0.15124
32.2,3.5987,0.15115
32.3,3.5965,0.15105
32.4,3.5943,0.15096
32.5,3.5921,0.15087
32.6,3.5899,0.15078
32.7,3.5877,0.15068
32.8,3.5855,0.15059
32.9,3.5834,0.1505
33.0,3.5812,0.15041
33.1,3.579,0.15032
33.2,3.5768,0.15023
33.3,3.5747,0.15014
33.4,3.5725,0.15004
33.5,3.5703,0.14995
33.6,3.5681,0.14986
33.7,3.566,0.14977
33.8,3.5638,0.14968
33.9,3.5617,0.14959
34.0,3.5595,0.1495
34.1,3.5574,0.14941
34.2,3.5552,0.14932
34.3,3.5531,0.14923
34.4,3.5509,0.14914
34.5,3.5488,0.14905
34.6,3.5466,0.14896
34.7,3.5445,0.14887
34.8,3.5424,0.14878
34.9,3.5402,0.14869
35.0,3.5381,0.1486
35.1,3.536,0.14851
35.2,3.5339,0.14842
35.3,3.5317,0.14833
35.4,3.5296,0.14824
35.5,3.5275,0.14815
35.6,3.5254,0.14807
35.7,3.5233,0.14798
35.8,3.5212,0.14789
35.9,3.5191,0.1478
36.0,3.5169,0.14771
36.1,3.5148,0.14762
36.2,3.5127,0.14754
36.3,3.5107,0.14745
36.4,3.5086,0.14736
36.5,3.5065,0.14727
36.6,3.5044,0.14718
36.7,3.5023,0.1471
36.8,3.5002,0.14701
36.9,3.4981,0.14692
37.0,3.496,0.14683
37.1,3.494,0.14675
37.2,3.4919,0.14666
37.3,3.4898,0.14657
37.4,3.4878,0.14649
37.5,3.4857,0.1464
37.6,3.4836,0.14631
37.7,3.4816,0.14623
37.8,3.4795,0.14614
37.9,3.4774,0.14605
38.0,3.4754,0.14597
38.1,3.4733,0.14588
38.2,3.4713,0.14579
38.3,3.4692,0.14571
38.4,3.4672,0.14562
38.5,3.4652,0.14554
38.6,3.4631,0.14545
38.7,3.4611,0.14537
38.8,3.459,0.14528
38.9,3.457,0.14519
39.0,3.455,0.14511
39.1,3.4529,0.14502
39.2,3.4509,0.14494
39.3,3.4489,0.14485
39.4,3.4469,0.14477
39.5,3.4449,0.14468
39.6,3.4428,0.1446
39.7,3.4408,0.14451
39.8,3.4388,0.14443
39.9,3.4368,0.14435
40.0,3.4348,0.14426
40.1,3.4328,0.14418
40.2,3.4308,0.14409
40.3,3.4288,0.14401
40.4,3.4268,0.14393
40.5,3.4248,0.14384
40.6,3.4228,0.14376
40.7,3.4208,0.14367
40.8,3.4188,0.14359
40.9,3.4168,0.14351
41.0,3.4149,0.14342
41.1,3.4129,0.14334
41.2,3.4109,0.14326
41.3,3.4089,0.14317
41.4,3.4069,0.14309
41.5,3.405,0.14301
41.6,3.403,0.14293
41.7,3.401,0.14284
41.8,3.3991,0.14276
41.9,3.3971,0.14268
42.0,3.3951,0.1426
42.1,3.3932,0.14251
42.2,3.3912,0.14243
42.3,3.3893,0.14235
42.4,3.3873,0.14227
42.5,3.3854,0.14219
42.6,3.3834,0.1421
42.7,3.3815,0.14202
42.8,3.3795,0.14194
42.9,3.3776,0.14186
43.0,3.3757,0.14178
43.1,3.3737,0.1417
43.2,3.3718,0.14162
43.3,3.3699,0.14153
43.4,3.3679,0.14145
43.5,3.366,0.14137
43.6,3.3641,0.14129
43.7,3.3622,0.14121
43.8,3.3602,0.14113
43.9,3.3583,0.14105
44.0,3.3564,0.14097
44.1,3.3545,0.14089
44.2,3.3526,0.14081
44.3,3.3507,0.14073
44.4,3.3488,0.14065
44.5,3.3468,0.14057
44.6,3.3449,0.14049
44.7,3.343,0.14041
44.8,3.3411,0.14033
44.9,3.3392,0.14025
45.0,3.3374,0.14017
45.1,3.3355,0.14009
45.2,3.3336,0.14001
45.3,3.3317,0.13993
45.4,3.3298,0.13985
45.5,3.3279,0.13977
45.6,3.326,0.13969
45.7,3.3242,0.13961
45.8,3.3223,0.13954
45.9,3.3204,0.13946
46.0,3.3185,0.13938
46.1,3.3167,0.1393
46.2,3.3148,0.13922
46.3,3.3129,0.13914
46.4,3.3111,0.13906
46.5,3.3092,0.13899
46.6,3.3073,0.13891
46.7,3.3055,0.13883
46.8,3.3036,0.13875
46.9,3.3018,0.13867
47.0,3.2999,0.1386
47.1,3.2981,0.13852
47.2,3.2962,0.13844
47.3,3.2944,0.13836
