Tonnes_per_Barrel_60F,API_Gravity_60F
0.12379,49.8
0.12386,49.7
0.12392,49.6
0.12399,49.5
0.12406,49.4
0.12413,49.3
0.1242,49.2
0.12427,49.1
0.12434,49.0
0.12441,48.9
0.12448,48.8
0.12454,48.7
0.12461,48.6
0.12468,48.5
0.12475,48.4
0.12482,48.3
0.12489,48.2
0.12496,48.1
0.12503,48.0
0.1251,47.9
0.12517,47.8
0.12524,47.7
0.12531,47.6
0.12538,47.5
0.12545,47.4
0.12552,47.3
0.12559,47.2
0.12566,47.1
0.12573,47.0
0.1258,46.9
0.12587,46.8
0.12594,46.7
0.12601,46.6
0.12609,46.5
0.12616,46.4
0.12623,46.3
0.1263,46.2
0.12637,46.1
0.12644,46.0
0.12651,45.9
0.12658,45.8
0.12666,45.7
0.12673,45.6
0.1268,45.5
0.12687,45.4
0.12694,45.3
0.12701,45.2
0.12709,45.1
0.12716,45.0
0.12723,44.9
0.1273,44.8
0.12738,44.7
0.12745,44.6
0.12752,44.5
0.12759,44.4
0.12767,44.3
0.12774,44.2
0.12781,44.1
0.12788,44.0
0.12796,43.9
0.12803,43.8
0.1281,43.7
0.12818,43.6
0.12825,43.5
0.12832,43.4
0.1284,43.3
0.12847,43.2
0.12854,43.1
0.12862,43.0
0.12869,42.9
0.12877,42.8
0.12884,42.7
0.12891,42.6
0.12899,42.5
0.12906,42.4
0.12914,42.3
0.12921,42.2
0.12929,42.1
0.12936,42.0
0.12944,41.9
0.12951,41.8
0.12959,41.7
0.12966,41.6
0.12974,41.5
0.12981,41.4
0.12989,41.3
0.12996,41.2
0.13004,41.1
0.13011,41.0
0.13019,40.9
0.13026,40.8
0.13034,40.7
0.13042,40.6
0.13049,40.5
0.13057,40.4
0.13064,40.3
0.13072,40.2
0.1308,40.1
0.13087,40.0
0.13095,39.9
0.13103,39.8
0.1311,39.7
0.13118,39.6
0.13126,39.5
0.13133,39.4
0.13141,39.3
0.13149,39.2
0.13156,39.1
0.13164,39.0
0.13172,38.9
0.1318,38.8
0.13187,38.7
0.13195,38.6
0.13203,38.5
0.13211,38.4
0.13218,38.3
0.13226,38.2
0.13234,38.1
0.13242,38.0
0.1325,37.9
0.13258,37.8
0.13265,37.7
0.13273,37.6
0.13281,37.5
0.13289,37.4
0.13297,37.3
0.13305,37.2
0.13313,37.1
0.13321,37.0
0.13328,36.9
0.13336,36.8
0.13344,36.7
0.13352,36.6
0.1336,36.5
0.13368,36.4
