API_Gravity_60F,Tonnes_per_1000_US_Gallons_60F,Tonnes_per_Barrel_60F
22.7,3.4661,0.14558
22.8,3.4639,0.14548
22.9,3.4616,0.14539
23.0,3.4594,0.14529
23.1,3.4571,0.1452
23.2,3.4549,0.14511
23.3,3.4527,0.14501
23.4,3.4504,0.14492
23.5,3.4482,0.14482
23.6,3.446,0.14473
23.7,3.4437,0.14464
23.8,3.4415,0.14454
23.9,3.4393,0.14445
24.0,3.4371,0.14436
24.1,3.4349,0.14426
24.2,3.4327,0.14417
24.3,3.4305,0.14408
24.4,3.4283,0.14399
24.5,3.4261,0.14389
24.6,3.4239,0.1438
24.7,3.4217,0.14371
24.8,3.4195,0.14362
24.9,3.4173,0.14353
25.0,3.4151,0.14343
25.1,3.4129,0.14334
25.2,3.4107,0.14325
25.3,3.4086,0.14316
25.4,3.4064,0.14307
25.5,3.4042,0.14298
25.6,3.402,0.14289
25.7,3.3999,0.14279
25.8,3.3977,0.1427
25.9,3.3955,0.14261
26.0,3.3934,0.14252
26.1,3.3912,0.14243
26.2,3.3891,0.14234
26.3,3.3869,0.14225
26.4,3.3848,0.14216
26.5,3.3826,0.14207
26.6,3.3805,0.14198
26.7,3.3784,0.14189
26.8,3.3762,0.1418
26.9,3.3741,0.14171
27.0,3.3719,0.14162
27.1,3.3698,0.14153
27.2,3.3677,0.14144
27.3,3.3656,0.14135
27.4,3.3634,0.14126
27.5,3.3613,0.14118
27.6,3.3592,0.14109
27.7,3.3571,0.141
27.8,3.355,0.14091
27.9,3.3529,0.14082
28.0,3.3508,0.14073
28.1,3.3487,0.14064
28.2,3.3466,0.14056
28.3,3.3445,0.14047
28.4,3.3424,0.14038
28.5,3.3403,0.14029
28.6,3.3382,0.1402
28.7,3.3361,0.14012
28.8,3.334,0.14003
28.9,3.332,0.13994
29.0,3.3299,0.13985
29.1,3.3278,0.13977
29.2,3.3257,0.13968
29.3,3.3237,0.13959
29.4,3.3216,0.13951
29.5,3.3195,0.13942
29.6,3.3175,0.13933
29.7,3.3154,0.13925
29.8,3.3133,0.13916
29.9,3.3113,0.13907
30.0,3.3092,0.13899
30.1,3.3072,0.1389
30.2,3.3051,0.13882
30.3,3.3031,0.13873
30.4,3.301,0.13864
30.5,3.299,0.13856
30.6,3.297,0.13847
30.7,3.2949,0.13839
30.8,3.2929,0.1383
30.9,3.2909,0.13822
31.0,3.2888,0.13813
31.1,3.2868,0.13805
31.2,3.2848,0.13796
31.3,3.2828,0.13788
31.4,3.2807,0.13779
31.5,3.2787,0.13771
31.6,3.2767,0.13762
31.7,3.2747,0.13754
31.8,3.2727,0.13745
31.9,3.2707,0.13737
32.0,3.2687,0.13728
32.1,3.2667,0.1372
32.2,3.2647,0.13712
32.3,3.2627,0.13703
32.4,3.2607,0.13695
32.5,3.2587,0.13687
32.6,3.2567,0.13678
32.7,3.2547,0.1367
32.8,3.2528,0.13662
32.9,3.2508,0.13653
33.0,3.2488,0.13645
33.1,3.2468,0.13637
33.2,3.2448,0.13628
33.3,3.2429,0.1362
33.4,3.2409,0.13612
33.5,3.2389,0.13604
33.6,3.237,0.13595
33.7,3.235,0.13587
33.8,3.233,0.13579
33.9,3.2311,0.13571
34.0,3.2291,0.13562
34.1,3.2272,0.13554
34.2,3.2252,0.13546
34.3,3.2233,0.13538
34.4,3.2213,0.1353
34.5,3.2194,0.13521
34.6,3.2175,0.13513
34.7,3.2155,0.13505
34.8,3.2136,0.13497
34.9,3.2116,0.13489
35.0,3.2097,0.13481
35.1,3.2078,0.13473
35.2,3.2059,0.13465
35.3,3.2039,0.13457
35.4,3.202,0.13448
35.5,3.2001,0.1344
35.6,3.1982,0.13432
35.7,3.1963,0.13424
35.8,3.1943,0.13416
35.9,3.1924,0.13408
36.0,3.1905,0.134
36.1,3.1886,0.13392
36.2,3.1867,0.13384
36.3,3.1848,0.13376
36.4,3.1829,0.13368
36.5,3.181,0.1336
36.6,3.1791,0.13352
36.7,3.1772,0.13344
36.8,3.1753,0.13336
36.9,3.1734,0.13328
37.0,3.1716,0.13321
37.1,3.1697,0.13313
37.2,3.1678,0.13305
37.3,3.1659,0.13297
37.4,3.164,0.13289
37.5,3.1622,0.13281
37.6,3.1603,0.13273
37.7,3.1584,0.13265
37.8,3.1566,0.13258
37.9,3.1547,0.1325
38.0,3.1528,0.13242
38.1,3.151,0.13234
38.2,3.1491,0.13226
38.3,3.1472,0.13218
38.4,3.1454,0.13211
38.5,3.1435,0.13203
38.6,3.1417,0.13195
38.7,3.1398,0.13187
38.8,3.138,0.1318
38.9,3.1361,0.13172
39.0,3.1343,0.13164
39.1,3.1325,0.13156
39.2,3.1306,0.13149
39.3,3.1288,0.13141
39.4,3.127,0.13133
39.5,3.1251,0.13126
39.6,3.1233,0.13118
39.7,3.1215,0.1311
39.8,3.1196,0.13103
39.9,3.1178,0.13095
40.0,3.116,0.13087
40.1,3.1142,0.1308
40.2,3.1124,0.13072
40.3,3.1106,0.13064
40.4,3.1087,0.13057
40.5,3.1069,0.13049
40.6,3.1051,0.13042
40.7,3.1033,0.13034
40.8,3.1015,0.13026
40.9,3.0997,0.13019
41.0,3.0979,0.13011
41.1,3.0961,0.13004
41.2,3.0943,0.12996
41.3,3.0925,0.12989
41.4,3.0907,0.12981
41.5,3.0889,0.12974
41.6,3.0872,0.12966
41.7,3.0854,0.12959
41.8,3.0836,0.12951
41.9,3.0818,0.12944
42.0,3.08,0.12936
42.1,3.0783,0.12929
42.2,3.0765,0.12921
42.3,3.0747,0.12914
42.4,3.0729,0.12906
42.5,3.0712,0.12899
42.6,3.0694,0.12891
42.7,3.0676,0.12884
42.8,3.0659,0.12877
42.9,3.0641,0.12869
43.0,3.0624,0.12862
43.1,3.0606,0.12854
43.2,3.0588,0.12847
43.3,3.0571,0.1284
43.4,3.0553,0.12832
43.5,3.0536,0.12825
43.6,3.0518,0.12818
43.7,3.0501,0.1281
43.8,3.0484,0.12803
43.9,3.0466,0.12796
44.0,3.0449,0.12788
44.1,3.0431,0.12781
44.2,3.0414,0.12774
44.3,3.0397,0.12767
44.4,3.0379,0.12759
44.5,3.0362,0.12752
44.6,3.0345,0.12745
44.7,3.0328,0.12738
44.8,3.031,0.1273
44.9,3.0293,0.12723
45.0,3.0276,0.12716
45.1,3.0259,0.12709
45.2,3.0242,0.12701
45.3,3.0225,0.12694
45.4,3.0207,0.12687
45.5,3.019,0.1268
45.6,3.0173,0.12673
45.7,3.0156,0.12666
45.8,3.0139,0.12658
45.9,3.0122,0.12651
46.0,3.0105,0.12644
46.1,3.0088,0.12637
46.2,3.0071,0.1263
46.3,3.0054,0.12623
46.4,3.0037,0.12616
46.5,3.002,0.12609
46.6,3.0004,0.12601
46.7,2.9987,0.12594
46.8,2.997,0.12587
46.9,2.9953,0.1258
47.0,2.9936,0.12573
47.1,2.9919,0.12566
47.2,2.9903,0.12559
47.3,2.9886,0.12552
47.4,2.9869,0.12545
47.5,2.9852,0.12538
47.6,2.9836,0.12531
47.7,2.9819,0.12524
47.8,2.9802,0.12517
47.9,2.9786,0.1251
48.0,2.9769,0.12503
48.1,2.9753,0.12496
48.2,2.9736,0.12489
48.3,2.9719,0.12482
48.4,2.9703,0.12475
48.5,2.9686,0.12468
48.6,2.967,0.12461
48.7,2.9653,0.12454
48.8,2.9637,0.12448
48.9,2.962,0.12441
49.0,2.9604,0.12434
49.1,2.9588,0.12427
49.2,2.9571,0.1242
49.3,2.9555,0.12413
49.4,2.9538,0.12406
49.5,2.9522,0.12399
49.6,2.9506,0.12392
49.7,2.9489,0.12386
49.8,2.9473,0.12379
49.9,2.9457,0.12372
50.0,2.9441,0.12365
50.1,2.9424,0.12358
50.2,2.9408,0.12351
50.3,2.9392,0.12345
50.4,2.9376,0.12338
50.5,2.936,0.12331
50.6,2.9343,0.12324
50.7,2.9327,0.12317
50.8,2.9311,0.12311
50.9,2.9295,0.12304
51.0,2.9279,0.12297
51.1,2.9263,0.1229
51.2,2.9247,0.12284
51.3,2.9231,0.12277
51.4,2.9215,0.1227
51.5,2.9199,0.12264
51.6,2.9183,0.12257
51.7,2.9167,0.1225
51.8,2.9151,0.12243
51.9,2.9135,0.12237
52.0,2.9119,0.1223
52.1,2.9103,0.12223
52.2,2.9088,0.12217
52.3,2.9072,0.1221
52.4,2.9056,0.12203
52.5,2.904,0.12197
52.6,2.9024,0.1219
52.7,2.9008,0.12184
52.8,2.8993,0.12177
52.9,2.8977,0.1217
53.0,2.8961,0.12164
53.1,2.8945,0.12157
53.2,2.893,0.12151
53.3,2.8914,0.12144
53.4,2.8898,0.12137
53.5,2.8883,0.12131
53.6,2.8867,0.12124
53.7,2.8852,0.12118
53.8,2.8836,0.12111
53.9,2.882,0.12105
54.0,2.8805,0.12098
54.1,2.8789,0.12091
54.2,2.8774,0.12085
54.3,2.8758,0.12078
54.4,2.8743,0.12072
54.5,2.8727,0.12065
54.6,2.8712,0.12059
54.7,2.8696,0.12052
54.8,2.8681,0.12046
54.9,2.8666,0.1204
55.0,2.865,0.12033
55.1,2.8635,0.12027
55.2,2.8619,0.1202
55.3,2.8604,0.12014
55.4,2.8589,0.12007
55.5,2.8573,0.12001
55.6,2.8558,0.11994
55.7,2.8543,0.11988
55.8,2.8528,0.11982
55.9,2.8512,0.11975
56.0,2.8497,0.11969
56.1,2.8482,0.11962
56.2,2.8467,0.11956
56.3,2.8451,0.1195
56.4,2.8436,0.11943
56.5,2.8421,0.11937
56.6,2.8406,0.11931
56.7,2.8391,0.11924
56.8,2.8376,0.11918
56.9,2.8361,0.11912
57.0,2.8346,0.11905
57.1,2.8331,0.11899
57.2,2.8316,0.11893
57.3,2.8301,0.11886
57.4,2.8286,0.1188
57.5,2.8271,0.11874
57.6,2.8256,0.11867
57.7,2.8241,0.11861
57.8,2.8226,0.11855
57.9,2.8211,0.11849
58.0,2.8196,0.11842
58.1,2.8181,0.11836
58.2,2.8166,0.1183
58.3,2.8151,0.11824
58.4,2.8136,0.11817
58.5,2.8122,0.11811
58.6,2.8107,0.11805
58.7,2.8092,0.11799
58.8,2.8077,0.11792
58.9,2.8062,0.11786
59.0,2.8048,0.1178
59.1,2.8033,0.11774
59.2,2.8018,0.11768
59.3,2.8003,0.11761
59.4,2.7988,0.11755
59.5,2.7974,0.11749
59.6,2.7959,0.11743
59.7,2.7945,0.11737
59.8,2.793,0.11731
59.9,2.7915,0.11725
60.0,2.7901,0.11718
60.1,2.7886,0.11712
60.2,2.7872,0.11706
60.3,2.7857,0.117
60.4,2.7843,0.11694
60.5,2.7828,0.11688
60.6,2.7814,0.11682
60.7,2.7799,0.11676
60.8,2.7785,0.1167
60.9,2.777,0.11663
61.0,2.7756,0.11657
61.1,2.7741,0.11651
61.2,2.7727,0.11645
61.3,2.7712,0.11639
61.4,2.7698,0.11633
61.5,2.7684,0.11627
61.6,2.7669,0.11621
61.7,2.7655,0.11615
61.8,2.7641,0.11609
61.9,2.7626,0.11603
62.0,2.7612,0.11597
62.1,2.7598,0.11591
62.2,2.7583,0.11585
62.3,2.7569,0.11579
62.4,2.7555,0.11573
62.5,2.7541,0.11567
62.6,2.7527,0.11561
62.7,2.7512,0.11555
62.8,2.7498,0.11549
62.9,2.7484,0.11543
63.0,2.747,0.11537
63.1,2.7456,0.11531
63.2,2.7442,0.11525
63.3,2.7427,0.1152
63.4,2.7413,0.11514
63.5,2.7399,0.11508
63.6,2.7385,0.11502
63.7,2.7371,0.11496
63.8,2.7357,0.1149
63.9,2.7343,0.11484
64.0,2.7329,0.11478
64.1,2.7315,0.11472
64.2,2.7301,0.11466
64.3,2.7287,0.11461
64.4,2.7273,0.11455
64.5,2.7259,0.11449
64.6,2.7245,0.11443
64.7,2.7231,0.11437
64.8,2.7218,0.11431
64.9,2.7204,0.11426
65.0,2.719,0.1142
65.1,2.7176,0.11414
65.2,2.7162,0.11408
65.3,2.7148,0.11402
65.4,2.7134,0.11396
65.5,2.7121,0.11391
65.6,2.7107,0.11385
65.7,2.7093,0.11379
65.8,2.7079,0.11373
65.9,2.7066,0.11368
66.0,2.7052,0.11362
66.1,2.7038,0.11356
66.2,2.7024,0.1135
66.3,2.7011,0.11345
66.4,2.6997,0.11339
66.5,2.6983,0.11333
66.6,2.697,0.11327
66.7,2.6956,0.11322
66.8,2.6943,0.11316
66.9,2.6929,0.1131
67.0,2.6915,0.11304
67.1,2.6902,0.11299
67.2,2.6888,0.11293
67.3,2.6875,0.11287
67.4,2.6861,0.11282
67.5,2.6848,0.11276
67.6,2.6834,0.1127
67.7,2.6821,0.11265
67.8,2.6807,0.11259
67.9,2.6794,0.11253
68.0,2.678,0.11248
68.1,2.6767,0.11242
68.2,2.6753,0.11236
68.3,2.674,0.11231
68.4,2.6727,0.11225
68.5,2.6713,0.1122
68.6,2.67,0.11214
68.7,2.6686,0.11208
68.8,2.6673,0.11203
68.9,2.666,0.11197
69.0,2.6646,0.11191
69.1,2.6633,0.11186
69.2,2.662,0.1118
69.3,2.6607,0.11175
69.4,2.6593,0.11169
69.5,2.658,0.11164
69.6,2.6567,0.11158
69.7,2.6554,0.11152
69.8,2.654,0.11147
69.9,2.6527,0.11141
70.0,2.6514,0.11136
70.1,2.6501,0.1113
70.2,2.6488,0.11125
70.3,2.6474,0.11119
70.4,2.6461,0.11114
70.5,2.6448,0.11108
70.6,2.6435,0.11103
70.7,2.6422,0.11097
70.8,2.6409,0.11092
70.9,2.6396,0.11086
71.0,2.6383,0.11081
71.1,2.637,0.11075
71.2,2.6357,0.1107
71.3,2.6344,0.11064
71.4,2.6331,0.11059
71.5,2.6318,0.11053
71.6,2.6305,0.11048
71.7,2.6292,0.11043
71.8,2.6279,0.11037
71.9,2.6266,0.11032
72.0,2.6253,0.11026
