Relative_Density_60F,Cubic_Meters_per_Short_Ton_60F,Cubic_Meters_per_Long_Ton_60F
0.882,1.0304,1.154
0.883,1.0292,1.1527
0.884,1.0281,1.1514
0.885,1.0269,1.1501
0.886,1.0257,1.1488
0.887,1.0246,1.1475
0.888,1.0234,1.1462
0.889,1.0223,1.1449
0.89,1.0211,1.1437
0.891,1.02,1.1424
0.892,1.0188,1.1411
0.893,1.0177,1.1398
0.894,1.0166,1.1385
0.895,1.0154,1.1373
0.896,1.0143,1.136
0.897,1.0131,1.1347
0.898,1.012,1.1335
0.899,1.0109,1.1322
0.9,1.0098,1.1309
0.901,1.0086,1.1297
0.902,1.0075,1.1284
0.903,1.0064,1.1272
0.904,1.0053,1.1259
0.905,1.0042,1.1247
0.906,1.0031,1.1234
0.907,1.002,1.1222
0.908,1.0009,1.121
0.909,0.9998,1.1197
0.91,0.9987,1.1185
0.911,0.9976,1.1173
0.912,0.9965,1.116
0.913,0.9954,1.1148
0.914,0.9943,1.1136
0.915,0.9932,1.1124
0.916,0.9921,1.1112
0.917,0.991,1.11
0.918,0.99,1.1087
0.919,0.9889,1.1075
0.92,0.9878,1.1063
0.921,0.9867,1.1051
0.922,0.9857,1.1039
0.923,0.9846,1.1027
0.924,0.9835,1.1015
0.925,0.9825,1.1004
0.926,0.9814,1.0992
0.927,0.9803,1.098
0.928,0.9793,1.0968
0.929,0.9782,1.0956
0.93,0.9772,1.0944
0.931,0.9761,1.0933
0.932,0.9751,1.0921
0.933,0.974,1.0909
0.934,0.973,1.0897
0.935,0.9719,1.0886
0.936,0.9709,1.0874
0.937,0.9699,1.0862
0.938,0.9688,1.0851
0.939,0.9678,1.0839
0.94,0.9668,1.0828
0.941,0.9657,1.0816
0.942,0.9647,1.0805
0.943,0.9637,1.0793
0.944,0.9627,1.0782
0.945,0.9616,1.077
0.946,0.9606,1.0759
0.947,0.9596,1.0748
0.948,0.9586,1.0736
0.949,0.9576,1.0725
0.95,0.9566,1.0714
0.951,0.9556,1.0702
0.952,0.9546,1.0691
0.953,0.9536,1.068
0.954,0.9526,1.0669
0.955,0.9516,1.0658
0.956,0.9506,1.0646
0.957,0.9496,1.0635
0.958,0.9486,1.0624
0.959,0.9476,1.0613
0.96,0.9466,1.0602
0.961,0.9456,1.0591
0.962,0.9446,1.058
0.963,0.9437,1.0569
0.964,0.9427,1.0558
0.965,0.9417,1.0547
0.966,0.9407,1.0536
0.967,0.9398,1.0525
0.968,0.9388,1.0514
0.969,0.9378,1.0503
0.97,0.9368,1.0493
0.971,0.9359,1.0482
0.972,0.9349,1.0471
0.973,0.934,1.046
0.974,0.933,1.045
0.975,0.932,1.0439
0.976,0.9311,1.0428
0.977,0.9301,1.0417
0.978,0.9292,1.0407
0.979,0.9282,1.0396
0.98,0.9273,1.0385
0.981,0.9263,1.0375
0.982,0.9254,1.0364
0.983,0.9244,1.0354
0.984,0.9235,1.0343
0.985,0.9226,1.0333
0.986,0.9216,1.0322
0.987,0.9207,1.0312
0.988,0.9198,1.0301
0.989,0.9188,1.0291
0.99,0.9179,1.0281
0.991,0.917,1.027
0.992,0.9161,1.026
0.993,0.9151,1.0249
0.994,0.9142,1.0239
0.995,0.9133,1.0229
0.996,0.9124,1.0219
0.997,0.9115,1.0208
0.998,0.9105,1.0198
0.999,0.9096,1.0188
1.0,0.9087,1.0178
1.001,0.9078,1.0167
1.002,0.9069,1.0157
1.003,0.906,1.0147
1.004,0.9051,1.0137
1.005,0.9042,1.0127
1.006,0.9033,1.0117
1.007,0.9024,1.0107
1.008,0.9015,1.0097
1.009,0.9006,1.0087
1.01,0.8997,1.0077
1.011,0.8988,1.0067
1.012,0.8979,1.0057
1.013,0.897,1.0047
1.014,0.8962,1.0037
1.015,0.8953,1.0027
1.016,0.8944,1.0017
1.017,0.8935,1.0007
1.018,0.8926,0.9998
1.019,0.8918,0.9988
1.02,0.8909,0.9978
1.021,0.89,0.9968
1.022,0.8891,0.9958
1.023,0.8883,0.9949
1.024,0.8874,0.9939
1.025,0.8865,0.9929
1.026,0.8857,0.992
1.027,0.8848,0.991
1.028,0.8839,0.99
1.029,0.8831,0.9891
1.03,0.8822,0.9881
1.031,0.8814,0.9871
1.032,0.8805,0.9862
1.033,0.8797,0.9852
1.034,0.8788,0.9843
1.035,0.878,0.9833
1.036,0.8771,0.9824
1.037,0.8763,0.9814
1.038,0.8754,0.9805
1.039,0.8746,0.9795
1.04,0.8737,0.9786
1.041,0.8729,0.9777
1.042,0.8721,0.9767
1.043,0.8712,0.9758
1.044,0.8704,0.9748
1.045,0.8696,0.9739
1.046,0.8687,0.973
1.047,0.8679,0.972
1.048,0.8671,0.9711
1.049,0.8662,0.9702
1.05,0.8654,0.9693
1.051,0.8646,0.9683
1.052,0.8638,0.9674
1.053,0.8629,0.9665
1.054,0.8621,0.9656
1.055,0.8613,0.9647
1.056,0.8605,0.9638
1.057,0.8597,0.9628
1.058,0.8589,0.9619
1.059,0.8581,0.961
1.06,0.8572,0.9601
1.061,0.8564,0.9592
1.062,0.8556,0.9583
1.063,0.8548,0.9574
1.064,0.854,0.9565
1.065,0.8532,0.9556
1.066,0.8524,0.9547
1.067,0.8516,0.9538
1.068,0.8508,0.9529
1.069,0.85,0.952
1.07,0.8492,0.9511
1.071,0.8484,0.9502
1.072,0.8476,0.9494
1.073,0.8469,0.9485
1.074,0.8461,0.9476
1.075,0.8453,0.9467
