Relative_Density_60F,Short_Tons_per_1000_US_Gallons_60F,Short_Tons_per_Barrel_60F
0.88,3.6638,0.15388
0.881,3.668,0.15405
0.882,3.6721,0.15423
0.883,3.6763,0.15441
0.884,3.6805,0.15458
0.885,3.6846,0.15476
0.886,3.6888,0.15493
0.887,3.693,0.15511
0.888,3.6972,0.15528
0.889,3.7013,0.15546
0.89,3.7055,0.15563
0.891,3.7097,0.15581
0.892,3.7138,0.15598
0.893,3.718,0.15616
0.894,3.7222,0.15633
0.895,3.7263,0.15651
0.896,3.7305,0.15668
0.897,3.7347,0.15686
0.898,3.7388,0.15703
0.899,3.743,0.15721
0.9,3.7472,0.15738
0.901,3.7514,0.15756
0.902,3.7555,0.15773
0.903,3.7597,0.15791
0.904,3.7639,0.15808
0.905,3.768,0.15826
0.906,3.7722,0.15843
0.907,3.7764,0.15861
0.908,3.7805,0.15878
0.909,3.7847,0.15896
0.91,3.7889,0.15913
0.911,3.793,0.15931
0.912,3.7972,0.15948
0.913,3.8014,0.15966
0.914,3.8056,0.15983
0.915,3.8097,0.16001
0.916,3.8139,0.16018
0.917,3.8181,0.16036
0.918,3.8222,0.16053
0.919,3.8264,0.16071
0.92,3.8306,0.16088
0.921,3.8347,0.16106
0.922,3.8389,0.16123
0.923,3.8431,0.16141
0.924,3.8472,0.16158
0.925,3.8514,0.16176
0.926,3.8556,0.16193
0.927,3.8598,0.16211
0.928,3.8639,0.16228
0.929,3.8681,0.16246
0.93,3.8723,0.16263
0.931,3.8764,0.16281
0.932,3.8806,0.16299
0.933,3.8848,0.16316
0.934,3.8889,0.16334
0.935,3.8931,0.16351
0.936,3.8973,0.16369
0.937,3.9014,0.16386
0.938,3.9056,0.16404
0.939,3.9098,0.16421
0.94,3.914,0.16439
0.941,3.9181,0.16456
0.942,3.9223,0.16474
0.943,3.9265,0.16491
0.944,3.9306,0.16509
0.945,3.9348,0.16526
0.946,3.939,0.16544
0.947,3.9431,0.16561
0.948,3.9473,0.16579
0.949,3.9515,0.16596
0.95,3.9556,0.16614
0.951,3.9598,0.16631
0.952,3.964,0.16649
0.953,3.9682,0.16666
0.954,3.9723,0.16684
0.955,3.9765,0.16701
0.956,3.9807,0.16719
0.957,3.9848,0.16736
0.958,3.989,0.16754
0.959,3.9932,0.16771
0.96,3.9973,0.16789
0.961,4.0015,0.16806
0.962,4.0057,0.16824
0.963,4.0098,0.16841
0.964,4.014,0.16859
0.965,4.0182,0.16876
0.966,4.0224,0.16894
0.967,4.0265,0.16911
0.968,4.0307,0.16929
0.969,4.0349,0.16946
0.97,4.039,0.16964
0.971,4.0432,0.16981
0.972,4.0474,0.16999
0.973,4.0515,0.17016
0.974,4.0557,0.17034
0.975,4.0599,0.17051
0.976,4.064,0.17069
0.977,4.0682,0.17086
0.978,4.0724,0.17104
0.979,4.0766,0.17122
0.98,4.0807,0.17139
0.981,4.0849,0.17157
0.982,4.0891,0.17174
0.983,4.0932,0.17192
0.984,4.0974,0.17209
0.985,4.1016,0.17227
0.986,4.1057,0.17244
0.987,4.1099,0.17262
0.988,4.1141,0.17279
0.989,4.1182,0.17297
0.99,4.1224,0.17314
0.991,4.1266,0.17332
0.992,4.1308,0.17349
0.993,4.1349,0.17367
0.994,4.1391,0.17384
0.995,4.1433,0.17402
0.996,4.1474,0.17419
0.997,4.1516,0.17437
0.998,4.1558,0.17454
0.999,4.1599,0.17472
1.0,4.1641,0.17489
1.001,4.1683,0.17507
1.002,4.1724,0.17524
1.003,4.1766,0.17542
1.004,4.1808,0.17559
1.005,4.185,0.17577
1.006,4.1891,0.17594
1.007,4.1933,0.17612
1.008,4.1975,0.17629
1.009,4.2016,0.17647
1.01,4.2058,0.17664
1.011,4.21,0.17682
1.012,4.2141,0.17699
1.013,4.2183,0.17717
1.014,4.2225,0.17734
1.015,4.2266,0.17752
1.016,4.2308,0.17769
1.017,4.235,0.17787
1.018,4.2391,0.17804
1.019,4.2433,0.17822
1.02,4.2475,0.17839
1.021,4.2517,0.17857
1.022,4.2558,0.17874
1.023,4.26,0.17892
1.024,4.2642,0.17909
1.025,4.2683,0.17927
1.026,4.2725,0.17945
1.027,4.2767,0.17962
1.028,4.2808,0.1798
1.029,4.285,0.17997
1.03,4.2892,0.18015
1.031,4.2933,0.18032
1.032,4.2975,0.1805
1.033,4.3017,0.18067
1.034,4.3059,0.18085
1.035,4.31,0.18102
1.036,4.3142,0.1812
1.037,4.3184,0.18137
1.038,4.3225,0.18155
1.039,4.3267,0.18172
1.04,4.3309,0.1819
1.041,4.335,0.18207
1.042,4.3392,0.18225
1.043,4.3434,0.18242
1.044,4.3475,0.1826
