Relative_Density_60F,Long_Tons_per_1000_US_Gallons_60F,Long_Tons_per_Barrel_60F
0.88,3.2713,0.13739
0.881,3.275,0.13755
0.882,3.2787,0.13771
0.883,3.2824,0.13786
0.884,3.2861,0.13802
0.885,3.2899,0.13817
0.886,3.2936,0.13833
0.887,3.2973,0.13849
0.888,3.301,0.13864
0.889,3.3048,0.1388
0.89,3.3085,0.13896
0.891,3.3122,0.13911
0.892,3.3159,0.13927
0.893,3.3196,0.13943
0.894,3.3234,0.13958
0.895,3.3271,0.13974
0.896,3.3308,0.13989
0.897,3.3345,0.14005
0.898,3.3383,0.14021
0.899,3.342,0.14036
0.9,3.3457,0.14052
0.901,3.3494,0.14068
0.902,3.3531,0.14083
0.903,3.3569,0.14099
0.904,3.3606,0.14114
0.905,3.3643,0.1413
0.906,3.368,0.14146
0.907,3.3718,0.14161
0.908,3.3755,0.14177
0.909,3.3792,0.14193
0.91,3.3829,0.14208
0.911,3.3866,0.14224
0.912,3.3904,0.1424
0.913,3.3941,0.14255
0.914,3.3978,0.14271
0.915,3.4015,0.14286
0.916,3.4053,0.14302
0.917,3.409,0.14318
0.918,3.4127,0.14333
0.919,3.4164,0.14349
0.92,3.4202,0.14365
0.921,3.4239,0.1438
0.922,3.4276,0.14396
0.923,3.4313,0.14412
0.924,3.435,0.14427
0.925,3.4388,0.14443
0.926,3.4425,0.14458
0.927,3.4462,0.14474
0.928,3.4499,0.1449
0.929,3.4537,0.14505
0.93,3.4574,0.14521
0.931,3.4611,0.14537
0.932,3.4648,0.14552
0.933,3.4685,0.14568
0.934,3.4723,0.14584
0.935,3.476,0.14599
0.936,3.4797,0.14615
0.937,3.4834,0.1463
0.938,3.4872,0.14646
0.939,3.4909,0.14662
0.94,3.4946,0.14677
0.941,3.4983,0.14693
0.942,3.502,0.14709
0.943,3.5058,0.14724
0.944,3.5095,0.1474
0.945,3.5132,0.14755
0.946,3.5169,0.14771
0.947,3.5207,0.14787
0.948,3.5244,0.14802
0.949,3.5281,0.14818
0.95,3.5318,0.14834
0.951,3.5355,0.14849
0.952,3.5393,0.14865
0.953,3.543,0.14881
0.954,3.5467,0.14896
0.955,3.5504,0.14912
0.956,3.5542,0.14927
0.957,3.5579,0.14943
0.958,3.5616,0.14959
0.959,3.5653,0.14974
0.96,3.5691,0.1499
0.961,3.5728,0.15006
0.962,3.5765,0.15021
0.963,3.5802,0.15037
0.964,3.5839,0.15053
0.965,3.5877,0.15068
0.966,3.5914,0.15084
0.967,3.5951,0.15099
0.968,3.5988,0.15115
0.969,3.6026,0.15131
0.97,3.6063,0.15146
0.971,3.61,0.15162
0.972,3.6137,0.15178
0.973,3.6174,0.15193
0.974,3.6212,0.15209
0.975,3.6249,0.15225
0.976,3.6286,0.1524
0.977,3.6323,0.15256
0.978,3.6361,0.15271
0.979,3.6398,0.15287
0.98,3.6435,0.15303
0.981,3.6472,0.15318
0.982,3.6509,0.15334
0.983,3.6547,0.1535
0.984,3.6584,0.15365
0.985,3.6621,0.15381
0.986,3.6658,0.15397
0.987,3.6696,0.15412
0.988,3.6733,0.15428
0.989,3.677,0.15443
0.99,3.6807,0.15459
0.991,3.6844,0.15475
0.992,3.6882,0.1549
0.993,3.6919,0.15506
0.994,3.6956,0.15522
0.995,3.6993,0.15537
0.996,3.7031,0.15553
0.997,3.7068,0.15568
0.998,3.7105,0.15584
0.999,3.7142,0.156
1.0,3.718,0.15615
1.001,3.7217,0.15631
1.002,3.7254,0.15647
1.003,3.7291,0.15662
1.004,3.7328,0.15678
1.005,3.7366,0.15694
1.006,3.7403,0.15709
1.007,3.744,0.15725
1.008,3.7477,0.1574
1.009,3.7515,0.15756
1.01,3.7552,0.15772
1.011,3.7589,0.15787
1.012,3.7626,0.15803
1.013,3.7663,0.15819
1.014,3.7701,0.15834
1.015,3.7738,0.1585
1.016,3.7775,0.15866
1.017,3.7812,0.15881
1.018,3.785,0.15897
1.019,3.7887,0.15912
1.02,3.7924,0.15928
1.021,3.7961,0.15944
1.022,3.7998,0.15959
1.023,3.8036,0.15975
1.024,3.8073,0.15991
1.025,3.811,0.16006
1.026,3.8147,0.16022
1.027,3.8185,0.16038
1.028,3.8222,0.16053
1.029,3.8259,0.16069
1.03,3.8296,0.16084
1.031,3.8333,0.161
1.032,3.8371,0.16116
1.033,3.8408,0.16131
1.034,3.8445,0.16147
1.035,3.8482,0.16163
1.036,3.852,0.16178
1.037,3.8557,0.16194
1.038,3.8594,0.1621
1.039,3.8631,0.16225
1.04,3.8668,0.16241
1.041,3.8706,0.16256
1.042,3.8743,0.16272
1.043,3.878,0.16288
1.044,3.8817,0.16303
1.045,3.8855,0.16319
1.046,3.8892,0.16335
1.047,3.8929,0.1635
1.048,3.8966,0.16366
1.049,3.9004,0.16381
1.05,3.9041,0.16397
1.051,3.9078,0.16413
1.052,3.9115,0.16428
1.053,3.9152,0.16444
1.054,3.919,0.1646
1.055,3.9227,0.16475
1.056,3.9264,0.16491
1.057,3.9301,0.16507
1.058,3.9339,0.16522
1.059,3.9376,0.16538
1.06,3.9413,0.16553
1.061,3.945,0.16569
1.062,3.9487,0.16585
1.063,3.9525,0.166
1.064,3.9562,0.16616
1.065,3.9599,0.16632
1.066,3.9636,0.16647
1.067,3.9674,0.16663
1.068,3.9711,0.16679
1.069,3.9748,0.16694
1.07,3.9785,0.1671
1.071,3.9822,0.16725
1.072,3.986,0.16741
1.073,3.9897,0.16757
1.074,3.9934,0.16772
1.075,3.9971,0.16788
