api_gravity_60f,pounds_per_us_gallon_60f,us_gallons_per_pound_60f
24.3,7.563,0.13222
24.4,7.558,0.13231
24.5,7.553,0.13239
24.6,7.548,0.13248
24.7,7.543,0.13256
24.8,7.539,0.13265
24.9,7.534,0.13273
25.0,7.529,0.13282
25.1,7.524,0.1329
25.2,7.519,0.13299
25.3,7.515,0.13307
25.4,7.51,0.13316
25.5,7.505,0.13324
25.6,7.5,0.13333
25.7,7.495,0.13341
25.8,7.491,0.1335
25.9,7.486,0.13358
26.0,7.481,0.13367
26.1,7.476,0.13375
26.2,7.472,0.13384
26.3,7.467,0.13392
26.4,7.462,0.13401
26.5,7.457,0.13409
26.6,7.453,0.13418
26.7,7.448,0.13426
26.8,7.443,0.13435
26.9,7.439,0.13443
27.0,7.434,0.13452
27.1,7.429,0.1346
27.2,7.424,0.13469
27.3,7.42,0.13477
27.4,7.415,0.13486
27.5,7.41,0.13494
27.6,7.406,0.13503
27.7,7.401,0.13511
27.8,7.396,0.1352
27.9,7.392,0.13528
28.0,7.387,0.13537
28.1,7.383,0.13545
28.2,7.378,0.13554
28.3,7.373,0.13562
28.4,7.369,0.13571
28.5,7.364,0.13579
28.6,7.359,0.13588
28.7,7.355,0.13596
28.8,7.35,0.13605
28.9,7.346,0.13613
29.0,7.341,0.13622
29.1,7.337,0.1363
29.2,7.332,0.13639
29.3,7.327,0.13647
29.4,7.323,0.13656
29.5,7.318,0.13664
29.6,7.314,0.13673
29.7,7.309,0.13681
29.8,7.305,0.1369
29.9,7.3,0.13698
30.0,7.296,0.13707
30.1,7.291,0.13715
30.2,7.287,0.13724
30.3,7.282,0.13732
30.4,7.278,0.13741
30.5,7.273,0.13749
30.6,7.269,0.13758
30.7,7.264,0.13766
30.8,7.26,0.13775
30.9,7.255,0.13783
31.0,7.251,0.13792
31.1,7.246,0.138
31.2,7.242,0.13809
31.3,7.237,0.13817
31.4,7.233,0.13826
31.5,7.228,0.13834
31.6,7.224,0.13843
31.7,7.219,0.13851
31.8,7.215,0.1386
