api_gravity_60f,us_gallons_per_long_ton_60f,barrels_per_long_ton_60f
26.3,299.99,7.143
26.4,300.18,7.147
26.5,300.37,7.152
26.6,300.56,7.156
26.7,300.75,7.161
26.8,300.94,7.165
26.9,301.13,7.17
27.0,301.32,7.174
27.1,301.51,7.179
27.2,301.7,7.183
27.3,301.89,7.188
27.4,302.08,7.192
27.5,302.28,7.197
27.6,302.47,7.202
27.7,302.66,7.206
27.8,302.85,7.211
27.9,303.04,7.215
28.0,303.23,7.22
28.1,303.42,7.224
28.2,303.61,7.229
28.3,303.8,7.233
28.4,303.99,7.238
28.5,304.18,7.242
28.6,304.37,7.247
28.7,304.56,7.251
28.8,304.75,7.256
28.9,304.94,7.26
29.0,305.13,7.265
29.1,305.32,7.27
29.2,305.51,7.274
29.3,305.7,7.279
29.4,305.89,7.283
29.5,306.08,7.288
29.6,306.27,7.292
29.7,306.46,7.297
29.8,306.65,7.301
29.9,306.84,7.306
30.0,307.03,7.31
30.1,307.22,7.315
30.2,307.42,7.319
30.3,307.61,7.324
30.4,307.8,7.328
30.5,307.99,7.333
30.6,308.18,7.338
30.7,308.37,7.342
30.8,308.56,7.347
30.9,308.75,7.351
31.0,308.94,7.356
31.1,309.13,7.36
31.2,309.32,7.365
31.3,309.51,7.369
31.4,309.7,7.374
31.5,309.89,7.378
31.6,310.08,7.383
31.7,310.27,7.387
31.8,310.46,7.392
31.9,310.65,7.396
32.0,310.84,7.401
32.1,311.03,7.406
32.2,311.22,7.41
32.3,311.41,7.415
32.4,311.6,7.419
32.5,311.79,7.424
32.6,311.98,7.428
32.7,312.17,7.433
32.8,312.37,7.437
32.9,312.56,7.442
33.0,312.75,7.446
33.1,312.94,7.451
33.2,313.13,7.455
33.3,313.32,7.46
33.4,313.51,7.464
33.5,313.7,7.469
33.6,313.89,7.474
33.7,314.08,7.478
33.8,314.27,7.483
33.9,314.46,7.487
34.0,314.65,7.492
34.1,314.84,7.496
34.2,315.03,7.501
34.3,315.22,7.505
34.4,315.41,7.51
34.5,315.6,7.514
34.6,315.79,7.519
34.7,315.98,7.523
34.8,316.17,7.528
34.9,316.36,7.532
35.0,316.55,7.537
35.1,316.74,7.542
35.2,316.93,7.546
35.3,317.13,7.551
35.4,317.32,7.555
35.5,317.51,7.56
35.6,317.7,7.564
35.7,317.89,7.569
35.8,318.08,7.573
35.9,318.27,7.578
36.0,318.46,7.582
36.1,318.65,7.587
36.2,318.84,7.591
36.3,319.03,7.596
36.4,319.22,7.6
36.5,319.41,7.605
36.6,319.6,7.61
36.7,319.79,7.614
36.8,319.98,7.619
36.9,320.17,7.623
37.0,320.36,7.628
37.1,320.55,7.632
37.2,320.74,7.637
37.3,320.93,7.641
37.4,321.12,7.646
37.5,321.31,7.65
37.6,321.5,7.655
37.7,321.69,7.659
37.8,321.89,7.664
37.9,322.08,7.668
38.0,322.27,7.673
38.1,322.46,7.678
38.2,322.65,7.682
38.3,322.84,7.687
38.4,323.03,7.691
38.5,323.22,7.696
38.6,323.41,7.7
38.7,323.6,7.705
38.8,323.79,7.709
38.9,323.98,7.714
39.0,324.17,7.718
39.1,324.36,7.723
39.2,324.55,7.727
39.3,324.74,7.732
39.4,324.93,7.736
39.5,325.12,7.741
39.6,325.31,7.746
