density_15c_kg_per_m3,relative_density_60f,api_gravity_60f
942,0.9426,18.62
943,0.9436,18.47
944,0.9446,18.31
945,0.9456,18.15
946,0.9466,17.99
947,0.9476,17.83
948,0.9486,17.67
949,0.9496,17.52
950,0.9506,17.36
951,0.9516,17.2
952,0.9526,17.05
953,0.9536,16.89
954,0.9546,16.74
955,0.9556,16.58
956,0.9566,16.42
957,0.9576,16.27
958,0.9586,16.12
959,0.9596,15.96
960,0.9606,15.81
961,0.9616,15.65
962,0.9626,15.5
963,0.9636,15.35
964,0.9646,15.2
965,0.9656,15.04
966,0.9666,14.89
967,0.9676,14.74
968,0.9686,14.59
969,0.9696,14.44
970,0.9706,14.29
971,0.9716,14.14
972,0.9726,13.99
973,0.9736,13.84
974,0.9746,13.69
975,0.9756,13.54
976,0.9766,13.39
977,0.9776,13.24
978,0.9786,13.1
979,0.9796,12.95
980,0.9806,12.8
981,0.9816,12.65
982,0.9826,12.51
983,0.9836,12.36
984,0.9846,12.21
985,0.9856,12.07
986,0.9866,11.92
987,0.9876,11.78
988,0.9886,11.63
989,0.9896,11.49
990,0.9906,11.34
991,0.9916,11.2
992,0.9926,11.05
993,0.9936,10.91
994,0.9946,10.77
995,0.9956,10.62
996,0.9966,10.48
997,0.9976,10.34
998,0.9986,10.2
999,0.9996,10.05
1000,1.0006,9.91
1001,1.0016,9.77
1002,1.0026,9.63
1003,1.0036,9.49
1004,1.0046,9.35
1005,1.0056,9.21
1006,1.0066,9.07
1007,1.0076,8.93
1008,1.0086,8.79
1009,1.0096,8.65
1010,1.0106,8.51
1011,1.0116,8.37
1012,1.0126,8.24
1013,1.0136,8.1
1014,1.0146,7.96
1015,1.0156,7.82
1016,1.0166,7.69
1017,1.0176,7.55
1018,1.0186,7.41
1019,1.0196,7.28
1020,1.0206,7.14
1021,1.0216,7.0
1022,1.0226,6.87
1023,1.0236,6.73
1024,1.0246,6.6
1025,1.0256,6.46
1026,1.0266,6.33
1027,1.0276,6.19
1028,1.0286,6.06
1029,1.0296,5.93
1030,1.0306,5.79
1031,1.0316,5.66
1032,1.0326,5.53
1033,1.0337,5.39
1034,1.0347,5.26
1035,1.0357,5.13
1036,1.0367,5.0
1037,1.0377,4.87
1038,1.0387,4.73
1039,1.0397,4.6
1040,1.0407,4.47
1041,1.0417,4.34
1042,1.0427,4.21
1043,1.0437,4.08
1044,1.0447,3.95
1045,1.0457,3.82
1046,1.0467,3.69
1047,1.0477,3.56
1048,1.0487,3.43
1049,1.0497,3.3
1050,1.0507,3.18
1051,1.0517,3.05
1052,1.0527,2.92
1053,1.0537,2.79
1054,1.0547,2.66
1055,1.0557,2.54
1056,1.0567,2.41
1057,1.0577,2.28
1058,1.0587,2.16
1059,1.0597,2.03
1060,1.0607,1.91
1061,1.0617,1.78
1062,1.0627,1.65
1063,1.0637,1.53
1064,1.0647,1.4
1065,1.0657,1.28
1066,1.0667,1.15
1067,1.0677,1.03
1068,1.0687,0.91
1069,1.0697,0.78
1070,1.0707,0.66
1071,1.0717,0.53
1072,1.0727,0.41
1073,1.0737,0.29
1074,1.0747,0.17
1075,1.0757,0.04
