relative_density_60f,pounds_per_us_gallon_60f,us_gallons_per_pound_60f
0.881,7.3359,0.13632
0.882,7.3443,0.13616
0.883,7.3526,0.13601
0.884,7.361,0.13585
0.885,7.3693,0.1357
0.886,7.3776,0.13554
0.887,7.386,0.13539
0.888,7.3943,0.13524
0.889,7.4027,0.13509
0.89,7.411,0.13493
0.891,7.4193,0.13478
0.892,7.4277,0.13463
0.893,7.436,0.13448
0.894,7.4443,0.13433
0.895,7.4527,0.13418
0.896,7.461,0.13403
0.897,7.4694,0.13388
0.898,7.4777,0.13373
0.899,7.486,0.13358
0.9,7.4944,0.13343
0.901,7.5027,0.13329
0.902,7.511,0.13314
0.903,7.5194,0.13299
0.904,7.5277,0.13284
0.905,7.5361,0.1327
0.906,7.5444,0.13255
0.907,7.5527,0.1324
0.908,7.5611,0.13226
0.909,7.5694,0.13211
0.91,7.5778,0.13197
0.911,7.5861,0.13182
0.912,7.5944,0.13168
0.913,7.6028,0.13153
0.914,7.6111,0.13139
0.915,7.6194,0.13124
0.916,7.6278,0.1311
0.917,7.6361,0.13096
0.918,7.6445,0.13081
0.919,7.6528,0.13067
0.92,7.6611,0.13053
0.921,7.6695,0.13039
0.922,7.6778,0.13025
0.923,7.6862,0.1301
0.924,7.6945,0.12996
0.925,7.7028,0.12982
0.926,7.7112,0.12968
0.927,7.7195,0.12954
0.928,7.7278,0.1294
0.929,7.7362,0.12926
0.93,7.7445,0.12912
0.931,7.7529,0.12898
0.932,7.7612,0.12885
0.933,7.7695,0.12871
0.934,7.7779,0.12857
0.935,7.7862,0.12843
0.936,7.7946,0.12829
0.937,7.8029,0.12816
0.938,7.8112,0.12802
0.939,7.8196,0.12788
0.94,7.8279,0.12775
0.941,7.8362,0.12761
0.942,7.8446,0.12748
0.943,7.8529,0.12734
0.944,7.8613,0.12721
0.945,7.8696,0.12707
0.946,7.8779,0.12694
0.947,7.8863,0.1268
0.948,7.8946,0.12667
0.949,7.903,0.12653
0.95,7.9113,0.1264
0.951,7.9196,0.12627
0.952,7.928,0.12614
0.953,7.9363,0.126
0.954,7.9446,0.12587
0.955,7.953,0.12574
0.956,7.9613,0.12561
0.957,7.9697,0.12548
0.958,7.978,0.12534
0.959,7.9863,0.12521
0.96,7.9947,0.12508
0.961,8.003,0.12495
0.962,8.0114,0.12482
0.963,8.0197,0.12469
0.964,8.028,0.12456
0.965,8.0364,0.12443
0.966,8.0447,0.12431
0.967,8.053,0.12418
0.968,8.0614,0.12405
0.969,8.0697,0.12392
0.97,8.0781,0.12379
0.971,8.0864,0.12366
0.972,8.0947,0.12354
0.973,8.1031,0.12341
0.974,8.1114,0.12328
0.975,8.1198,0.12316
0.976,8.1281,0.12303
0.977,8.1364,0.1229
0.978,8.1448,0.12278
0.979,8.1531,0.12265
0.98,8.1614,0.12253
0.981,8.1698,0.1224
0.982,8.1781,0.12228
0.983,8.1865,0.12215
0.984,8.1948,0.12203
0.985,8.2031,0.1219
0.986,8.2115,0.12178
0.987,8.2198,0.12166
0.988,8.2281,0.12153
0.989,8.2365,0.12141
0.99,8.2448,0.12129
0.991,8.2532,0.12117
0.992,8.2615,0.12104
0.993,8.2698,0.12092
0.994,8.2782,0.1208
0.995,8.2865,0.12068
0.996,8.2949,0.12056
0.997,8.3032,0.12044
0.998,8.3115,0.12031
0.999,8.3199,0.12019
1.0,8.3282,0.12007
1.001,8.3365,0.11995
1.002,8.3449,0.11983
1.003,8.3532,0.11971
1.004,8.3616,0.11959
1.005,8.3699,0.11948
1.006,8.3782,0.11936
1.007,8.3866,0.11924
1.008,8.3949,0.11912
1.009,8.4033,0.119
1.01,8.4116,0.11888
1.011,8.4199,0.11877
1.012,8.4283,0.11865
1.013,8.4366,0.11853
1.014,8.4449,0.11841
1.015,8.4533,0.1183
1.016,8.4616,0.11818
1.017,8.47,0.11806
1.018,8.4783,0.11795
1.019,8.4866,0.11783
1.02,8.495,0.11772
1.021,8.5033,0.1176
1.022,8.5117,0.11749
1.023,8.52,0.11737
1.024,8.5283,0.11726
1.025,8.5367,0.11714
1.026,8.545,0.11703
1.027,8.5533,0.11691
1.028,8.5617,0.1168
1.029,8.57,0.11669
1.03,8.5784,0.11657
1.031,8.5867,0.11646
1.032,8.595,0.11635
1.033,8.6034,0.11623
1.034,8.6117,0.11612
1.035,8.6201,0.11601
1.036,8.6284,0.1159
1.037,8.6367,0.11578
1.038,8.6451,0.11567
1.039,8.6534,0.11556
1.04,8.6617,0.11545
1.041,8.6701,0.11534
1.042,8.6784,0.11523
1.043,8.6868,0.11512
1.044,8.6951,0.11501
1.045,8.7034,0.1149
1.046,8.7118,0.11479
