relative_density_60f,api_gravity_60f,density_15c_kg_per_m3
0.918,22.64,917.5
0.919,22.47,918.5
0.92,22.3,919.5
0.921,22.14,920.5
0.922,21.97,921.5
0.923,21.8,922.5
0.924,21.64,923.5
0.925,21.47,924.5
0.926,21.31,925.5
0.927,21.14,926.5
0.928,20.98,927.5
0.929,20.81,928.5
0.93,20.65,929.5
0.931,20.49,930.5
0.932,20.32,931.5
0.933,20.16,932.5
0.934,20.0,933.5
0.935,19.84,934.5
0.936,19.68,935.5
0.937,19.51,936.5
0.938,19.35,937.5
0.939,19.19,938.5
0.94,19.03,939.5
0.941,18.87,940.5
0.942,18.71,941.4
0.943,18.55,942.4
0.944,18.39,943.4
0.945,18.24,944.4
0.946,18.08,945.4
0.947,17.92,946.4
0.948,17.76,947.4
0.949,17.6,948.4
0.95,17.45,949.4
0.951,17.29,950.4
0.952,17.13,951.4
0.953,16.98,952.4
0.954,16.82,953.4
0.955,16.67,954.4
0.956,16.51,955.4
0.957,16.36,956.4
0.958,16.2,957.4
0.959,16.05,958.4
0.96,15.9,959.4
0.961,15.74,960.4
0.962,15.59,961.4
0.963,15.44,962.4
0.964,15.28,963.4
0.965,15.13,964.4
0.966,14.98,965.4
0.967,14.83,966.4
0.968,14.68,967.4
0.969,14.53,968.4
0.97,14.38,969.4
0.971,14.23,970.4
0.972,14.08,971.4
0.973,13.93,972.4
0.974,13.78,973.4
0.975,13.63,974.4
0.976,13.48,975.4
0.977,13.33,976.4
0.978,13.18,977.4
0.979,13.04,978.4
0.98,12.89,979.4
0.981,12.74,980.4
0.982,12.59,981.4
0.983,12.45,982.4
0.984,12.3,983.4
0.985,12.15,984.4
0.986,12.01,985.4
0.987,11.86,986.4
0.988,11.72,987.4
0.989,11.57,988.4
0.99,11.43,989.4
0.991,11.29,990.4
0.992,11.14,991.4
0.993,11.0,992.4
0.994,10.85,993.4
0.995,10.71,994.4
0.996,10.57,995.4
0.997,10.43,996.4
0.998,10.28,997.4
0.999,10.14,998.4
1.0,10.0,999.4
1.001,9.86,1000.4
1.002,9.72,1001.4
1.003,9.58,1002.4
1.004,9.44,1003.4
1.005,9.3,1004.4
1.006,9.16,1005.4
1.007,9.02,1006.4
1.008,8.88,1007.4
1.009,8.74,1008.4
1.01,8.6,1009.4
1.011,8.46,1010.4
1.012,8.32,1011.4
1.013,8.18,1012.4
1.014,8.05,1013.4
1.015,7.91,1014.4
1.016,7.77,1015.4
1.017,7.63,1016.4
1.018,7.5,1017.4
1.019,7.36,1018.4
1.02,7.23,1019.4
1.021,7.09,1020.4
1.022,6.95,1021.4
1.023,6.82,1022.4
1.024,6.68,1023.4
1.025,6.55,1024.4
1.026,6.41,1025.4
1.027,6.28,1026.4
1.028,6.15,1027.4
1.029,6.01,1028.4
1.03,5.88,1029.4
1.031,5.75,1030.4
1.032,5.61,1031.4
1.033,5.48,1032.4
1.034,5.35,1033.3
1.035,5.21,1034.3
1.036,5.08,1035.3
1.037,4.95,1036.3
1.038,4.82,1037.3
1.039,4.69,1038.3
1.04,4.56,1039.3
1.041,4.43,1040.3
1.042,4.3,1041.3
1.043,4.17,1042.3
1.044,4.04,1043.3
1.045,3.91,1044.3
1.046,3.78,1045.3
1.047,3.65,1046.3
1.048,3.52,1047.3
1.049,3.39,1048.3
1.05,3.26,1049.3
1.051,3.13,1050.3
1.052,3.01,1051.3
1.053,2.88,1052.3
1.054,2.75,1053.3
1.055,2.62,1054.3
1.056,2.5,1055.3
1.057,2.37,1056.3
1.058,2.24,1057.3
1.059,2.12,1058.3
1.06,1.99,1059.3
1.061,1.86,1060.3
1.062,1.74,1061.3
1.063,1.61,1062.3
1.064,1.49,1063.3
1.065,1.36,1064.3
1.066,1.24,1065.3
1.067,1.11,1066.3
1.068,0.99,1067.3
1.069,0.87,1068.3
1.07,0.74,1069.3
1.071,0.62,1070.3
1.072,0.5,1071.3
1.073,0.37,1072.3
1.074,0.25,1073.3
1.075,0.13,1074.3
