api_gravity_60f,us_gallons_per_short_ton_60f,barrels_per_short_ton_60f
26.3,267.85,6.377
26.4,268.02,6.381
26.5,268.19,6.385
26.6,268.36,6.389
26.7,268.53,6.394
26.8,268.7,6.398
26.9,268.87,6.402
27.0,269.04,6.406
27.1,269.21,6.41
27.2,269.38,6.414
27.3,269.55,6.418
27.4,269.72,6.422
27.5,269.89,6.426
27.6,270.06,6.43
27.7,270.23,6.434
27.8,270.4,6.438
27.9,270.57,6.442
28.0,270.74,6.446
28.1,270.91,6.45
28.2,271.08,6.454
28.3,271.25,6.458
28.4,271.42,6.462
28.5,271.59,6.466
28.6,271.76,6.47
28.7,271.93,6.474
28.8,272.1,6.479
28.9,272.27,6.483
29.0,272.44,6.487
29.1,272.61,6.491
29.2,272.78,6.495
29.3,272.95,6.499
29.4,273.12,6.503
29.5,273.29,6.507
29.6,273.46,6.511
29.7,273.63,6.515
29.8,273.8,6.519
29.9,273.97,6.523
30.0,274.14,6.527
30.1,274.31,6.531
30.2,274.48,6.535
30.3,274.65,6.539
30.4,274.82,6.543
30.5,274.99,6.547
30.6,275.16,6.551
30.7,275.33,6.555
30.8,275.5,6.559
30.9,275.67,6.564
31.0,275.84,6.568
31.1,276.01,6.572
31.2,276.18,6.576
31.3,276.35,6.58
31.4,276.52,6.584
31.5,276.69,6.588
31.6,276.86,6.592
31.7,277.03,6.596
31.8,277.2,6.6
31.9,277.37,6.604
32.0,277.54,6.608
32.1,277.71,6.612
32.2,277.88,6.616
32.3,278.05,6.62
32.4,278.22,6.624
32.5,278.39,6.628
32.6,278.56,6.632
32.7,278.73,6.636
32.8,278.9,6.64
32.9,279.07,6.644
33.0,279.24,6.649
33.1,279.41,6.653
33.2,279.58,6.657
33.3,279.75,6.661
33.4,279.92,6.665
33.5,280.09,6.669
33.6,280.26,6.673
33.7,280.43,6.677
33.8,280.6,6.681
33.9,280.77,6.685
34.0,280.94,6.689
34.1,281.11,6.693
34.2,281.28,6.697
34.3,281.45,6.701
34.4,281.62,6.705
34.5,281.79,6.709
34.6,281.96,6.713
34.7,282.13,6.717
34.8,282.3,6.721
34.9,282.47,6.725
35.0,282.64,6.729
35.1,282.81,6.734
35.2,282.98,6.738
35.3,283.15,6.742
35.4,283.32,6.746
35.5,283.49,6.75
35.6,283.66,6.754
35.7,283.83,6.758
35.8,284.0,6.762
35.9,284.17,6.766
36.0,284.34,6.77
36.1,284.51,6.774
36.2,284.68,6.778
36.3,284.85,6.782
36.4,285.02,6.786
36.5,285.19,6.79
36.6,285.36,6.794
36.7,285.53,6.798
36.8,285.7,6.802
36.9,285.87,6.806
37.0,286.04,6.81
37.1,286.21,6.814
37.2,286.38,6.819
37.3,286.55,6.823
37.4,286.72,6.827
37.5,286.89,6.831
37.6,287.06,6.835
37.7,287.23,6.839
37.8,287.4,6.843
37.9,287.57,6.847
38.0,287.74,6.851
38.1,287.91,6.855
38.2,288.08,6.859
38.3,288.25,6.863
38.4,288.42,6.867
38.5,288.59,6.871
38.6,288.76,6.875
38.7,288.93,6.879
38.8,289.1,6.883
38.9,289.27,6.887
39.0,289.44,6.891
39.1,289.61,6.895
39.2,289.78,6.899
39.3,289.95,6.904
39.4,290.12,6.908
39.5,290.29,6.912
39.6,290.46,6.916
39.7,290.63,6.92
39.8,290.8,6.924
39.9,290.97,6.928
40.0,291.14,6.932
40.1,291.31,6.936
40.2,291.48,6.94
40.3,291.65,6.944
40.4,291.82,6.948
40.5,291.99,6.952
40.6,292.16,6.956
40.7,292.33,6.96
40.8,292.5,6.964
40.9,292.67,6.968
41.0,292.84,6.972
41.1,293.01,6.976
41.2,293.18,6.98
41.3,293.35,6.984
41.4,293.52,6.989
41.5,293.69,6.993
41.6,293.86,6.997
41.7,294.03,7.001
41.8,294.2,7.005
41.9,294.37,7.009
42.0,294.54,7.013
42.1,294.71,7.017
42.2,294.88,7.021
42.3,295.05,7.025
42.4,295.22,7.029
42.5,295.39,7.033
42.6,295.56,7.037
42.7,295.73,7.041
42.8,295.9,7.045
42.9,296.07,7.049
43.0,296.24,7.053
43.1,296.41,7.057
43.2,296.58,7.061
43.3,296.75,7.065
43.4,296.92,7.069
43.5,297.09,7.074
43.6,297.26,7.078
43.7,297.43,7.082
43.8,297.6,7.086
43.9,297.77,7.09
44.0,297.94,7.094
44.1,298.11,7.098
44.2,298.28,7.102
44.3,298.45,7.106
44.4,298.62,7.11
44.5,298.79,7.114
44.6,298.96,7.118
44.7,299.13,7.122
44.8,299.3,7.126
44.9,299.47,7.13
45.0,299.64,7.134
45.1,299.81,7.138
45.2,299.98,7.142
45.3,300.15,7.146
45.4,300.32,7.15
45.5,300.49,7.154
45.6,300.66,7.159
45.7,300.83,7.163
45.8,301.0,7.167
45.9,301.17,7.171
46.0,301.34,7.175
46.1,301.51,7.179
46.2,301.68,7.183
46.3,301.85,7.187
46.4,302.02,7.191
46.5,302.19,7.195
46.6,302.36,7.199
46.7,302.53,7.203
46.8,302.7,7.207
46.9,302.87,7.211
47.0,303.04,7.215
47.1,303.21,7.219
47.2,303.38,7.223
47.3,303.55,7.227
47.4,303.72,7.231
47.5,303.89,7.235
47.6,304.06,7.24
47.7,304.23,7.244
47.8,304.4,7.248
47.9,304.57,7.252
48.0,304.74,7.256
48.1,304.91,7.26
48.2,305.08,7.264
48.3,305.25,7.268
48.4,305.42,7.272
48.5,305.59,7.276
48.6,305.76,7.28
48.7,305.93,7.284
48.8,306.1,7.288
48.9,306.27,7.292
49.0,306.44,7.296
49.1,306.61,7.3
49.2,306.78,7.304
49.3,306.95,7.308
49.4,307.12,7.312
49.5,307.29,7.316
49.6,307.46,7.32
49.7,307.63,7.325
49.8,307.8,7.329
49.9,307.97,7.333
50.0,308.14,7.337
50.1,308.31,7.341
50.2,308.48,7.345
50.3,308.65,7.349
50.4,308.82,7.353
50.5,308.99,7.357
50.6,309.16,7.361
50.7,309.33,7.365
50.8,309.5,7.369
50.9,309.67,7.373
51.0,309.84,7.377
51.1,310.01,7.381
51.2,310.18,7.385
51.3,310.35,7.389
51.4,310.52,7.393
51.5,310.69,7.397
51.6,310.86,7.401
51.7,311.03,7.405
51.8,311.2,7.41
51.9,311.37,7.414
52.0,311.54,7.418
52.1,311.71,7.422
52.2,311.88,7.426
52.3,312.05,7.43
52.4,312.22,7.434
52.5,312.39,7.438
52.6,312.56,7.442
52.7,312.73,7.446
52.8,312.9,7.45
52.9,313.07,7.454
53.0,313.24,7.458
53.1,313.41,7.462
53.2,313.58,7.466
53.3,313.75,7.47
53.4,313.92,7.474
53.5,314.09,7.478
53.6,314.26,7.482
53.7,314.43,7.486
53.8,314.6,7.491
53.9,314.77,7.495
54.0,314.94,7.499
54.1,315.11,7.503
54.2,315.28,7.507
54.3,315.45,7.511
54.4,315.62,7.515
54.5,315.79,7.519
54.6,315.96,7.523
54.7,316.13,7.527
54.8,316.3,7.531
54.9,316.47,7.535
55.0,316.64,7.539
55.1,316.81,7.543
55.2,316.98,7.547
55.3,317.15,7.551
55.4,317.32,7.555
55.5,317.49,7.559
55.6,317.66,7.563
55.7,317.83,7.567
55.8,318.0,7.571
55.9,318.17,7.576
56.0,318.34,7.58
56.1,318.51,7.584
56.2,318.68,7.588
56.3,318.85,7.592
56.4,319.02,7.596
56.5,319.19,7.6
56.6,319.36,7.604
56.7,319.53,7.608
56.8,319.7,7.612
56.9,319.87,7.616
57.0,320.04,7.62
57.1,320.21,7.624
57.2,320.38,7.628
57.3,320.55,7.632
57.4,320.72,7.636
57.5,320.89,7.64
57.6,321.06,7.644
57.7,321.23,7.648
57.8,321.4,7.652
57.9,321.57,7.657
58.0,321.74,7.661
58.1,321.91,7.665
58.2,322.08,7.669
58.3,322.25,7.673
58.4,322.42,7.677
58.5,322.59,7.681
58.6,322.76,7.685
58.7,322.93,7.689
58.8,323.1,7.693
58.9,323.27,7.697
59.0,323.44,7.701
59.1,323.62,7.705
59.2,323.79,7.709
59.3,323.96,7.713
59.4,324.13,7.717
59.5,324.3,7.721
59.6,324.47,7.725
59.7,324.64,7.729
59.8,324.81,7.733
59.9,324.98,7.738
60.0,325.15,7.742
60.1,325.32,7.746
60.2,325.49,7.75
60.3,325.66,7.754
60.4,325.83,7.758
60.5,326.0,7.762
60.6,326.17,7.766
60.7,326.34,7.77
60.8,326.51,7.774
60.9,326.68,7.778
61.0,326.85,7.782
61.1,327.02,7.786
61.2,327.19,7.79
61.3,327.36,7.794
61.4,327.53,7.798
61.5,327.7,7.802
61.6,327.87,7.806
61.7,328.04,7.81
61.8,328.21,7.814
61.9,328.38,7.818
62.0,328.55,7.823
62.1,328.72,7.827
62.2,328.89,7.831
62.3,329.06,7.835
62.4,329.23,7.839
62.5,329.4,7.843
62.6,329.57,7.847
62.7,329.74,7.851
62.8,329.91,7.855
62.9,330.08,7.859
63.0,330.25,7.863
63.1,330.42,7.867
63.2,330.59,7.871
63.3,330.76,7.875
63.4,330.93,7.879
63.5,331.1,7.883
63.6,331.27,7.887
63.7,331.44,7.891
63.8,331.61,7.895
63.9,331.78,7.899
64.0,331.95,7.904
64.1,332.12,7.908
64.2,332.29,7.912
64.3,332.46,7.916
64.4,332.63,7.92
64.5,332.8,7.924
64.6,332.97,7.928
64.7,333.14,7.932
64.8,333.31,7.936
64.9,333.48,7.94
65.0,333.65,7.944
65.1,333.82,7.948
65.2,333.99,7.952
65.3,334.16,7.956
65.4,334.33,7.96
65.5,334.5,7.964
65.6,334.67,7.968
65.7,334.84,7.972
65.8,335.01,7.976
65.9,335.18,7.98
66.0,335.35,7.985
66.1,335.52,7.989
66.2,335.69,7.993
66.3,335.86,7.997
66.4,336.03,8.001
66.5,336.2,8.005
66.6,336.37,8.009
66.7,336.54,8.013
66.8,336.71,8.017
66.9,336.88,8.021
67.0,337.05,8.025
67.1,337.22,8.029
67.2,337.39,8.033
67.3,337.56,8.037
67.4,337.73,8.041
67.5,337.9,8.045
67.6,338.07,8.049
67.7,338.24,8.053
67.8,338.41,8.057
67.9,338.58,8.061
68.0,338.75,8.066
68.1,338.92,8.07
68.2,339.09,8.074
68.3,339.26,8.078
68.4,339.43,8.082
68.5,339.6,8.086
68.6,339.77,8.09
68.7,339.94,8.094
68.8,340.11,8.098
68.9,340.28,8.102
69.0,340.45,8.106
69.1,340.62,8.11
69.2,340.79,8.114
69.3,340.96,8.118
69.4,341.13,8.122
69.5,341.3,8.126
69.6,341.47,8.13
69.7,341.64,8.134
69.8,341.81,8.138
69.9,341.98,8.142
70.0,342.15,8.147
70.1,342.32,8.151
70.2,342.49,8.155
70.3,342.66,8.159
70.4,342.83,8.163
70.5,343.0,8.167
70.6,343.17,8.171
70.7,343.34,8.175
70.8,343.51,8.179
70.9,343.68,8.183
71.0,343.86,8.187
71.1,344.03,8.191
71.2,344.2,8.195
71.3,344.37,8.199
71.4,344.54,8.203
71.5,344.71,8.207
71.6,344.88,8.211
71.7,345.05,8.215
71.8,345.22,8.219
71.9,345.39,8.223
72.0,345.56,8.228
72.1,345.73,8.232
72.2,345.9,8.236
72.3,346.07,8.24
72.4,346.24,8.244
72.5,346.41,8.248
72.6,346.58,8.252
72.7,346.75,8.256
72.8,346.92,8.26
72.9,347.09,8.264
73.0,347.26,8.268
73.1,347.43,8.272
73.2,347.6,8.276
73.3,347.77,8.28
73.4,347.94,8.284
73.5,348.11,8.288
73.6,348.28,8.292
73.7,348.45,8.296
73.8,348.62,8.3
73.9,348.79,8.304
74.0,348.96,8.309
74.1,349.13,8.313
74.2,349.3,8.317
74.3,349.47,8.321
74.4,349.64,8.325
74.5,349.81,8.329
74.6,349.98,8.333
74.7,350.15,8.337
74.8,350.32,8.341
74.9,350.49,8.345
75.0,350.66,8.349
