api_gravity_60f,long_tons_per_1000_us_gallons_60f,long_tons_per_barrel_60f
22.7,3.4114,0.14328
22.8,3.4092,0.14318
22.9,3.4069,0.14309
23.0,3.4047,0.143
23.1,3.4025,0.14291
23.2,3.4003,0.14281
23.3,3.3981,0.14272
23.4,3.3959,0.14263
23.5,3.3937,0.14254
23.6,3.3915,0.14244
23.7,3.3894,0.14235
23.8,3.3872,0.14226
23.9,3.385,0.14217
24.0,3.3828,0.14208
24.1,3.3806,0.14199
24.2,3.3785,0.1419
24.3,3.3763,0.1418
24.4,3.3741,0.14171
24.5,3.372,0.14162
24.6,3.3698,0.14153
24.7,3.3676,0.14144
24.8,3.3655,0.14135
24.9,3.3633,0.14126
25.0,3.3612,0.14117
25.1,3.359,0.14108
25.2,3.3569,0.14099
25.3,3.3547,0.1409
25.4,3.3526,0.14081
25.5,3.3504,0.14072
25.6,3.3483,0.14063
25.7,3.3462,0.14054
25.8,3.344,0.14045
25.9,3.3419,0.14036
26.0,3.3398,0.14027
26.1,3.3377,0.14018
26.2,3.3356,0.14009
26.3,3.3334,0.14
26.4,3.3313,0.13992
26.5,3.3292,0.13983
26.6,3.3271,0.13974
26.7,3.325,0.13965
26.8,3.3229,0.13956
26.9,3.3208,0.13947
27.0,3.3187,0.13939
27.1,3.3166,0.1393
27.2,3.3145,0.13921
27.3,3.3124,0.13912
27.4,3.3103,0.13903
27.5,3.3082,0.13895
27.6,3.3062,0.13886
27.7,3.3041,0.13877
27.8,3.302,0.13868
27.9,3.2999,0.1386
28.0,3.2979,0.13851
28.1,3.2958,0.13842
28.2,3.2937,0.13834
28.3,3.2917,0.13825
28.4,3.2896,0.13816
28.5,3.2875,0.13808
28.6,3.2855,0.13799
28.7,3.2834,0.1379
28.8,3.2814,0.13782
28.9,3.2793,0.13773
29.0,3.2773,0.13765
29.1,3.2752,0.13756
29.2,3.2732,0.13747
29.3,3.2712,0.13739
29.4,3.2691,0.1373
29.5,3.2671,0.13722
29.6,3.2651,0.13713
29.7,3.263,0.13705
29.8,3.261,0.13696
29.9,3.259,0.13688
30.0,3.257,0.13679
30.1,3.2549,0.13671
30.2,3.2529,0.13662
30.3,3.2509,0.13654
30.4,3.2489,0.13645
30.5,3.2469,0.13637
30.6,3.2449,0.13629
30.7,3.2429,0.1362
30.8,3.2409,0.13612
30.9,3.2389,0.13603
31.0,3.2369,0.13595
31.1,3.2349,0.13587
31.2,3.2329,0.13578
31.3,3.2309,0.1357
31.4,3.2289,0.13562
31.5,3.2269,0.13553
31.6,3.225,0.13545
31.7,3.223,0.13537
31.8,3.221,0.13528
31.9,3.219,0.1352
32.0,3.2171,0.13512
32.1,3.2151,0.13503
32.2,3.2131,0.13495
32.3,3.2112,0.13487
32.4,3.2092,0.13479
32.5,3.2072,0.1347
32.6,3.2053,0.13462
32.7,3.2033,0.13454
32.8,3.2014,0.13446
32.9,3.1994,0.13438
33.0,3.1975,0.13429
33.1,3.1955,0.13421
33.2,3.1936,0.13413
33.3,3.1917,0.13405
33.4,3.1897,0.13397
33.5,3.1878,0.13389
33.6,3.1858,0.13381
33.7,3.1839,0.13372
33.8,3.182,0.13364
33.9,3.1801,0.13356
34.0,3.1781,0.13348
34.1,3.1762,0.1334
34.2,3.1743,0.13332
34.3,3.1724,0.13324
34.4,3.1705,0.13316
34.5,3.1685,0.13308
34.6,3.1666,0.133
34.7,3.1647,0.13292
34.8,3.1628,0.13284
34.9,3.1609,0.13276
35.0,3.159,0.13268
35.1,3.1571,0.1326
35.2,3.1552,0.13252
35.3,3.1533,0.13244
35.4,3.1514,0.13236
35.5,3.1495,0.13228
35.6,3.1477,0.1322
35.7,3.1458,0.13212
35.8,3.1439,0.13204
35.9,3.142,0.13196
36.0,3.1401,0.13189
36.1,3.1383,0.13181
36.2,3.1364,0.13173
36.3,3.1345,0.13165
36.4,3.1326,0.13157
36.5,3.1308,0.13149
36.6,3.1289,0.13141
36.7,3.127,0.13134
36.8,3.1252,0.13126
36.9,3.1233,0.13118
37.0,3.1215,0.1311
37.1,3.1196,0.13102
37.2,3.1178,0.13095
37.3,3.1159,0.13087
37.4,3.1141,0.13079
37.5,3.1122,0.13071
37.6,3.1104,0.13064
37.7,3.1085,0.13056
37.8,3.1067,0.13048
37.9,3.1049,0.1304
38.0,3.103,0.13033
38.1,3.1012,0.13025
38.2,3.0994,0.13017
38.3,3.0975,0.1301
38.4,3.0957,0.13002
38.5,3.0939,0.12994
38.6,3.0921,0.12987
38.7,3.0902,0.12979
38.8,3.0884,0.12971
38.9,3.0866,0.12964
39.0,3.0848,0.12956
39.1,3.083,0.12949
39.2,3.0812,0.12941
39.3,3.0794,0.12933
39.4,3.0776,0.12926
39.5,3.0758,0.12918
39.6,3.074,0.12911
39.7,3.0722,0.12903
39.8,3.0704,0.12896
39.9,3.0686,0.12888
40.0,3.0668,0.12881
40.1,3.065,0.12873
40.2,3.0632,0.12865
40.3,3.0614,0.12858
40.4,3.0596,0.1285
40.5,3.0579,0.12843
40.6,3.0561,0.12836
40.7,3.0543,0.12828
40.8,3.0525,0.12821
40.9,3.0508,0.12813
41.0,3.049,0.12806
41.1,3.0472,0.12798
41.2,3.0454,0.12791
41.3,3.0437,0.12783
41.4,3.0419,0.12776
41.5,3.0402,0.12769
41.6,3.0384,0.12761
41.7,3.0366,0.12754
41.8,3.0349,0.12747
41.9,3.0331,0.12739
42.0,3.0314,0.12732
42.1,3.0296,0.12724
42.2,3.0279,0.12717
42.3,3.0261,0.1271
42.4,3.0244,0.12702
42.5,3.0227,0.12695
42.6,3.0209,0.12688
42.7,3.0192,0.12681
42.8,3.0174,0.12673
42.9,3.0157,0.12666
43.0,3.014,0.12659
43.1,3.0123,0.12651
43.2,3.0105,0.12644
43.3,3.0088,0.12637
43.4,3.0071,0.1263
43.5,3.0054,0.12623
43.6,3.0036,0.12615
43.7,3.0019,0.12608
43.8,3.0002,0.12601
43.9,2.9985,0.12594
44.0,2.9968,0.12586
44.1,2.9951,0.12579
44.2,2.9934,0.12572
44.3,2.9917,0.12565
44.4,2.99,0.12558
44.5,2.9883,0.12551
44.6,2.9866,0.12544
44.7,2.9849,0.12536
44.8,2.9832,0.12529
