relative_density_60f,us_gallons_per_long_ton_60f,barrels_per_long_ton_60f
0.917,293.34,6.984
0.918,293.02,6.977
0.919,292.7,6.969
0.92,292.38,6.962
0.921,292.07,6.954
0.922,291.75,6.946
0.923,291.43,6.939
0.924,291.12,6.931
0.925,290.8,6.924
0.926,290.49,6.916
0.927,290.17,6.909
0.928,289.86,6.901
0.929,289.55,6.894
0.93,289.24,6.887
0.931,288.93,6.879
0.932,288.62,6.872
0.933,288.31,6.864
0.934,288.0,6.857
0.935,287.69,6.85
0.936,287.38,6.842
0.937,287.07,6.835
0.938,286.77,6.828
0.939,286.46,6.82
0.94,286.16,6.813
0.941,285.85,6.806
0.942,285.55,6.799
0.943,285.24,6.792
0.944,284.94,6.784
0.945,284.64,6.777
0.946,284.34,6.77
0.947,284.04,6.763
0.948,283.74,6.756
0.949,283.44,6.749
0.95,283.14,6.741
0.951,282.84,6.734
0.952,282.54,6.727
0.953,282.25,6.72
0.954,281.95,6.713
0.955,281.66,6.706
0.956,281.36,6.699
0.957,281.07,6.692
0.958,280.77,6.685
0.959,280.48,6.678
0.96,280.19,6.671
0.961,279.89,6.664
0.962,279.6,6.657
0.963,279.31,6.65
0.964,279.02,6.643
0.965,278.73,6.636
0.966,278.44,6.63
0.967,278.16,6.623
0.968,277.87,6.616
0.969,277.58,6.609
0.97,277.29,6.602
0.971,277.01,6.595
0.972,276.72,6.589
0.973,276.44,6.582
0.974,276.15,6.575
0.975,275.87,6.568
0.976,275.59,6.562
0.977,275.31,6.555
0.978,275.02,6.548
0.979,274.74,6.541
0.98,274.46,6.535
0.981,274.18,6.528
0.982,273.9,6.521
0.983,273.62,6.515
0.984,273.34,6.508
0.985,273.07,6.502
0.986,272.79,6.495
0.987,272.51,6.488
0.988,272.24,6.482
0.989,271.96,6.475
0.99,271.69,6.469
0.991,271.41,6.462
0.992,271.14,6.456
0.993,270.86,6.449
0.994,270.59,6.443
0.995,270.32,6.436
0.996,270.05,6.43
0.997,269.78,6.423
0.998,269.51,6.417
0.999,269.23,6.41
1.0,268.97,6.404
1.001,268.7,6.398
1.002,268.43,6.391
1.003,268.16,6.385
1.004,267.89,6.378
1.005,267.63,6.372
1.006,267.36,6.366
1.007,267.09,6.359
1.008,266.83,6.353
1.009,266.56,6.347
1.01,266.3,6.34
1.011,266.04,6.334
1.012,265.77,6.328
1.013,265.51,6.322
1.014,265.25,6.315
1.015,264.99,6.309
1.016,264.72,6.303
1.017,264.46,6.297
1.018,264.2,6.291
1.019,263.94,6.284
1.02,263.69,6.278
1.021,263.43,6.272
1.022,263.17,6.266
1.023,262.91,6.26
1.024,262.65,6.254
1.025,262.4,6.248
1.026,262.14,6.241
1.027,261.89,6.235
1.028,261.63,6.229
1.029,261.38,6.223
1.03,261.12,6.217
1.031,260.87,6.211
1.032,260.62,6.205
1.033,260.36,6.199
1.034,260.11,6.193
1.035,259.86,6.187
1.036,259.61,6.181
1.037,259.36,6.175
1.038,259.11,6.169
1.039,258.86,6.163
